iter	Passed	Remaining
844	61911	11356
845	61983	11282
846	62053	11209
847	62125	11135
848	62194	11061
849	62221	10980
850	62294	10906
851	62368	10833
852	62442	10760
853	62521	10688
854	62593	10615
855	62665	10541
856	62737	10468
857	62809	10394
858	62885	10322
859	62955	10248
860	63029	10175
861	63101	10102
862	63178	10029
863	63254	9956
864	63327	9883
865	63396	9809
866	63471	9736
867	63541	9663
868	63613	9589
869	63684	9516
870	63762	9443
871	63842	9371
872	63917	9298
873	63986	9224
874	64058	9151
875	64136	9078
876	64217	9006
877	64288	8933
878	64366	8860
879	64439	8787
880	64511	8713
881	64597	8642
882	64667	8568
883	64741	8495
884	64765	8415
885	64842	8343
886	64914	8269
887	64986	8196
888	65023	8118
889	65092	8045
890	65173	7972
891	65243	7899
892	65314	7825
893	65383	7752
894	65459	7679
895	65533	7606
896	65606	7533
897	65680	7460
898	65749	7386
899	65822	7313
900	65903	7241
901	65971	7167
902	66040	7094
903	66111	7020
904	66181	6947
905	66251	6873
906	66323	6800
907	66393	6727
908	66469	6654
909	66542	6581
910	66615	6507
911	66687	6434
912	66759	6361
913	66775	6283
914	66845	6209
915	66919	6136
916	66992	6063
917	67064	5990
918	67136	5917
919	67207	5844
920	67278	5770
921	67351	5697
922	67422	5624
923	67494	5551
924	67568	5478
925	67646	5405
926	67715	5332
927	67783	5259
928	67853	5185
929	67923	5112
930	67995	5039
931	68071	4966
932	68142	4893
933	68213	4820
934	68250	4744
935	68325	4671
936	68397	4598
937	68468	4525
938	68538	4452
939	68610	4379
940	68634	4303
941	68702	4230
942	68774	4157
943	68848	4084
944	68915	4010
945	68990	3938
946	69063	3865
947	69132	3792
948	69202	3718
949	69226	3643
950	69294	3570
951	69368	3497
952	69444	3424
953	69514	3351
954	69597	3279
955	69667	3206
956	69738	3133
957	69805	3060
958	69830	2985
959	69906	2912
960	69976	2839
961	70051	2767
962	70121	2694
963	70191	2621
964	70262	2548
965	70330	2475
966	70400	2402
967	70470	2329
968	70542	2256
969	70611	2183
970	70684	2111
971	70708	2036
972	70782	1964
973	70852	1891
974	70923	1818
975	70999	1745
976	71073	1673
977	71143	1600
978	71216	1527
979	71287	1454
980	71358	1382
981	71434	1309
982	71511	1236
983	71591	1164
984	71664	1091
985	71738	1018
986	71809	945
987	71881	873
988	71958	800
989	72026	727
990	72098	654
991	72168	582
992	72235	509
993	72303	436
994	72374	363
995	72459	291
996	72536	218
997	72610	145
998	72683	72
999	72755	0
